frame;timestamp;firstRB;x1;y1;z1;secondRB;x2;y2;z2
1285;27,00634;B;1,66;32;18,34;none;-9;42,93;32,7
1290;27,09054;B;1,66;32;18,34;none;-9;42,93;32,7
1295;27,17471;B;1,66;32;18,34;none;-9;42,93;32,7
1300;27,25675;B;1,66;32;18,34;none;-9;42,93;32,7
1305;27,55447;B;1,66;32;18,34;none;-9;42,93;32,7
1310;27,63648;B;1,66;32;18,34;none;-9;42,93;32,7
1315;27,71924;B;1,66;32;18,34;none;-9;42,93;32,7
1320;27,80253;B;1,66;32;18,34;none;-9;42,93;32,7
1325;27,88755;B;1,66;32;18,34;none;-9;42,93;32,7
1330;27,97007;B;1,66;32;18,34;none;-9;42,93;32,7
1335;28,05429;B;1,66;32;18,34;none;-9;42,93;32,7
1340;28,13835;B;1,66;32;18,34;none;-9;42,93;32,7
1345;28,21958;B;1,66;32;18,34;none;-9;42,93;32,7
1350;28,30367;B;1,66;32;18,34;none;-9;42,93;32,7
1355;28,38633;B;1,66;32;18,34;none;-9;42,93;32,7
1360;28,47099;B;1,66;32;18,34;none;-9;42,93;32,7
1365;28,55245;B;1,66;32;18,34;none;-9;42,93;32,7
1370;28,63633;B;1,66;32;18,34;none;-9;42,93;32,7
1375;28,71957;B;1,66;32;18,34;none;-9;42,93;32,7
1380;28,80338;B;1,66;32;18,34;none;-9;42,93;32,7
1385;28,88602;B;1,66;32;18,34;none;-9;42,93;32,7
1390;28,97155;B;1,66;32;18,34;none;-9;42,93;32,7
1395;29,05445;B;1,66;32;18,34;none;-9;42,93;32,7
1400;29,13633;B;1,66;32;18,34;none;-9;42,93;32,7
1405;29,21939;B;1,66;32;18,34;none;-9;42,93;32,7
1410;29,303;B;1,66;32;18,34;none;-9;42,93;32,7
1415;29,38653;B;1,66;32;18,34;none;-9;42,93;32,7
1420;29,46894;B;1,66;32;18,34;none;-9;42,93;32,7
1425;29,55375;B;1,66;32;18,34;none;-9;42,93;32,7
1430;29,63679;B;1,66;32;18,34;none;-9;42,93;32,7
1435;29,72006;B;1,66;32;18,34;none;-9;42,93;32,7
1440;29,80333;B;1,66;32;18,34;none;-9;42,93;32,7
1445;29,88707;B;1,66;32;18,34;none;-9;42,93;32,7
1450;29,97038;B;1,66;32;18,34;none;-9;42,93;32,7
1455;30,05243;B;1,66;32;18,34;none;-9;42,93;32,7
1460;30,13791;B;1,66;32;18,34;none;-9;42,93;32,7
1465;30,21973;B;1,66;32;18,34;none;-9;42,93;32,7
1470;30,30465;B;1,66;32;18,34;none;-9;42,93;32,7
1475;30,3868;B;1,66;32;18,34;none;-9;42,93;32,7
1480;30,47015;B;1,66;32;18,34;none;-9;42,93;32,7
1485;30,5526;B;1,66;32;18,34;none;-9;42,93;32,7
1490;30,63683;B;1,66;32;18,34;none;-9;42,93;32,7
1495;30,72056;B;1,66;32;18,34;none;-9;42,93;32,7
1500;30,80408;B;1,66;32;18,34;none;-9;42,93;32,7
1505;30,88697;B;1,66;32;18,34;none;-9;42,93;32,7
1510;30,97148;B;1,66;32;18,34;none;-9;42,93;32,7
1515;31,05221;B;1,66;32;18,34;none;-9;42,93;32,7
1520;31,13591;B;1,66;32;18,34;none;-9;42,93;32,7
1525;31,21962;B;1,66;32;18,34;none;-9;42,93;32,7
1530;31,30295;B;1,66;32;18,34;none;-9;42,93;32,7
1535;31,38669;B;1,66;32;18,34;none;-9;42,93;32,7
1540;31,47049;B;1,66;32;18,34;none;-9;42,93;32,7
1545;31,55312;B;1,66;32;18,34;none;-9;42,93;32,7
1550;31,63616;B;1,66;32;18,34;none;-9;42,93;32,7
1555;31,71979;B;1,66;32;18,34;none;-9;42,93;32,7
1560;31,80412;B;1,66;32;18,34;none;-9;42,93;32,7
1565;31,88746;B;1,66;32;18,34;none;-9;42,93;32,7
1570;31,97093;B;1,66;32,07;18,45;none;-9;42,93;32,7
1575;32,05261;B;1,67;32,9;19,88;none;-9;42,93;32,7
1580;32,13621;B;1,69;34,18;22,22;none;-9;42,93;32,7
1585;32,21937;B;1,72;35,49;24,88;none;-9;42,93;32,7
1590;32,31984;B;1,76;36,87;28,16;none;-9;42,93;32,7
1595;32,40226;B;1,78;37,79;30,87;none;-9;42,93;32,7
1600;32,48545;B;1,78;38,6;33,64;none;-9;42,93;32,7
